Nom de la Commune,Code Postal,Latitude,Longitude
FONTAINE,39140,46.6983,5.4384
L,59390,50.6729,3.2186
CHASSE-SUR-RHONE,38670,45.578,4.8129
SAINT-QUENTIN-FALLAVIER,38070,45.6392,5.1128
VIENNE,38200,45.5221,4.8803
ECHIROLLES,38130,45.1441,5.7148
GRENOBLE,38000,45.1842,5.7155
FROGES,38190,45.2684,5.9265
VILLEFONTAINE,38090,45.6161,5.1549
MEYLAN,38240,45.2147,5.7865
LA MURE,38140,45.383,5.5424
JARRIE,73300,45.2885,6.3052
LA TOUR-DU-PIN,38110,45.5743,5.4459
SAINT-ALBAN-DE-ROCHE,38080,45.5889,5.2243
SAINT-SIMEON-DE-BRESSIEUX,38870,45.321,5.266
EYBENS,38320,45.1526,5.7487
FONTANIL-CORNILLON,38120,45.2554,5.6614
SAINT-MARCELLIN,38160,45.1526,5.3166
PONTCHARRA,38530,45.4225,6.0228
AOSTE,38490,45.6015,5.611
VOREPPE,38340,45.2861,5.6417
TIGNIEU-JAMEYZIEU,38230,45.7321,5.183
VARCES-ALLIERES-ET-RISSET,38760,45.0884,5.6699
VILLETTE D'ANTHON,38280,45.7878,5.1019
REVENTIN-VAUGRIS,38121,45.4757,4.8438
SAINT-LAURENT-DU-PONT,38380,45.3812,5.7307
SEYSSINS,38180,45.1578,5.6697
VEZERONCE-CURTIN,38510,45.6534,5.469
SAINT-MAURICE-L'EXIL,38550,45.3911,4.7774
AGNIN,38150,45.3347,4.8598
VELANNE,38620,45.4888,5.6441
VILLETTE-DE-VIENNE,38200,45.5883,4.9109
RUY-MONTCEAU,38300,45.5881,5.3482
CHARVIEU-CHAVAGNEUX,38230,45.7386,5.1522
SAINT-JUST-CHALEYSSIN,38540,45.5867,5.0077
SAINT MAURICE L'EXIL,38550,45.3911,4.7774
GIERES,38610,45.1828,5.7902
SAINT-ISMIER,38330,45.2503,5.8274
SOUSVILLE,38350,44.9119,5.8066
MOIRANS,38430,45.3227,5.5676
VOIRON,38500,45.3805,5.5869
GONCELIN,38570,45.3365,5.9886
VILLARD-DE-LANS,38250,45.051,5.5392
MONTALIEU-VERCIEU,38390,45.8143,5.4036
SABLONS,33910,45.0233,-0.1822
SAINT-MARTIN-D'HERES,38400,45.1782,5.7646
CHATONNAY,38440,45.4784,5.2225
BREZINS,38590,45.3475,5.3058
DOLOMIEU,38110,45.6179,5.4759
LA TRONCHE,38700,45.2117,5.7443
CRETS EN BELLEDONNE,38570,45.3569,6.0314
SAINT-ANDRE-LE-GAZ,38490,45.5477,5.5336
TREPT,38460,45.6864,5.3239
PONT-EVEQUE,38780,45.5335,4.9278
BOURGOIN-JALLIEU,38300,45.6025,5.2747
SEPTEME,38780,45.5514,4.9881
SEYSSINET-PARISET,38170,45.1721,5.6701
LE TOUVET,38660,45.3512,5.9481
SAINT-CLAIR-DU-RHONE,38370,45.4357,4.7739
DOMENE,38420,45.2053,5.8367
SAINT-JEAN-DE-BOURNAY,38440,45.4964,5.145
VEUREY-VOROIZE,38113,45.2713,5.6042
CHARAVINES,38850,45.4231,5.5166
LA COTE-SAINT-ANDRE,38260,45.3844,5.2586
