Nom,Code Commune,SIREN,Code Département,Code Région,Code EPCI,Codes Postaux,Latitude,Longitude,Population
L'Abergement-Clémenciat,01001,210100012,01,84,200069193,01400,46.1517,4.9306,859
L'Abergement-de-Varey,01002,210100020,01,84,240100883,01640,46.0071,5.4247,273
Ambérieu-en-Bugey,01004,210100046,01,84,240100883,01500,45.9575,5.3706,15554
Ambérieux-en-Dombes,01005,210100053,01,84,200042497,01330,45.9992,4.9119,1917
Ambléon,01006,210100061,01,84,200040350,01300,45.7483,5.5928,114
Ambronay,01007,210100079,01,84,240100883,01500,46.0099,5.3627,2828
Ambutrix,01008,210100087,01,84,240100883,01500,45.9347,5.3359,764
Andert-et-Condon,01009,210100095,01,84,200040350,01300,45.7841,5.6607,335
Anglefort,01010,210100103,01,84,200070852,01350,45.9086,5.7948,1150
Apremont,01011,210100111,01,84,200042935,01100,46.2045,5.6619,399
Aranc,01012,210100129,01,84,200042935,01110,45.9972,5.514,329
Arandas,01013,210100137,01,84,240100883,01230,45.8885,5.4982,140
Arbent,01014,210100145,01,84,200042935,01100,46.2838,5.6879,3482
Arboys en Bugey,01015,200053668,01,84,200040350,01300,45.7189,5.6404,688
Arbigny,01016,210100160,01,84,200071371,01190,46.4808,4.9613,459
Argis,01017,210100178,01,84,240100883,01230,45.9322,5.4819,420
Armix,01019,210100194,01,84,200040350,01510,45.8523,5.5837,25
Ars-sur-Formans,01021,210100210,01,84,200042497,01480,45.9904,4.8195,1513
Artemare,01022,210100228,01,84,200040350,01510,45.8701,5.692,1141
Asnières-sur-Saône,01023,210100236,01,84,200071371,01570,46.3859,4.882,77
Attignat,01024,210100244,01,84,200071751,01340,46.2858,5.1823,3372
Bâgé-Dommartin,01025,200077220,01,84,200071371,01380,46.3277,4.9704,4057
Bâgé-le-Châtel,01026,210100269,01,84,200071371,01380,46.3081,4.9305,987
Balan,01027,210100277,01,84,240100610,01360,45.8268,5.1076,2878
Baneins,01028,210100285,01,84,200069193,01990,46.1117,4.9045,618
Beaupont,01029,210100293,01,84,200071751,01270,46.4274,5.2634,717
Beauregard,01030,210100301,01,84,200042497,01480,46.0012,4.7567,826
Bellignat,01031,210100319,01,84,200042935,01100,46.2402,5.6371,3581
Béligneux,01032,210100327,01,84,240100610,01360,45.8622,5.1415,3484
Valserhône,01033,200083863,01,84,240100891,01200,46.1234,5.7944,16162
Belley,01034,210100343,01,84,200040350,01300,45.743,5.6927,9270
Belleydoux,01035,210100350,01,84,200042935,01130,46.2519,5.7816,306
Valromey-sur-Séran,01036,200086411,01,84,200040350,01260,45.9236,5.6626,1350
Bénonces,01037,210100376,01,84,240100883,01470,45.842,5.4834,311
Bény,01038,210100384,01,84,200071751,01370,46.3189,5.2789,769
Béréziat,01040,210100400,01,84,200071751,01340,46.3699,5.0431,481
Bettant,01041,210100418,01,84,240100883,01500,45.9366,5.3648,762
Bey,01042,210100426,01,84,200070555,01290,46.2182,4.844,290
Beynost,01043,210100434,01,84,240100800,01700,45.8359,4.9964,4936
Billiat,01044,210100442,01,84,240100891,01200,46.0778,5.7632,669
Birieux,01045,210100459,01,84,200069193,01330,45.9509,5.0401,280
Biziat,01046,210100467,01,84,200070555,01290,46.224,4.9393,897
Blyes,01047,210100475,01,84,240100883,01150,45.8442,5.2515,1351
La Boisse,01049,210100491,01,84,240100610,01120,45.8483,5.0262,3401
Boissey,01050,210100509,01,84,200071371,"01190,01380",46.3723,4.9975,390
Bolozon,01051,210100517,01,84,200042935,01450,46.1971,5.4701,99
Bouligneux,01052,210100525,01,84,200069193,01330,46.0202,4.9957,323
Bourg-en-Bresse,01053,210100533,01,84,200071751,01000,46.2027,5.2469,42065
Bourg-Saint-Christophe,01054,210100541,01,84,240100883,01800,45.8842,5.1393,1540
Boyeux-Saint-Jérôme,01056,210100566,01,84,200029999,01640,46.0356,5.4616,362
Boz,01057,210100574,01,84,200071371,01190,46.4089,4.9166,509
Brégnier-Cordon,01058,210100582,01,84,200040350,01300,45.6406,5.6174,812
Brénod,01060,210100608,01,84,200042935,01110,46.0791,5.6116,547
Brens,01061,210100616,01,84,200040350,01300,45.7163,5.69,1117
Bressolles,01062,210100624,01,84,240100610,01360,45.8714,5.0984,1003
Brion,01063,210100632,01,84,200042935,01460,46.1689,5.5477,591
Briord,01064,210100640,01,84,240100883,01470,45.768,5.4832,1102
Buellas,01065,210100657,01,84,200071751,01310,46.2116,5.1468,1884
La Burbanche,01066,210100665,01,84,200040350,01510,45.8629,5.548,97
Ceignes,01067,210100673,01,84,200042935,01430,46.1258,5.4957,263
