nom,siren,nombre_etablissements,nombre_etablissements_ouverts,num�ro_voie,adresse,complement_voie,code_postal,ville,activit�,caract�re_employeur,epci,etat_administratif,date_creation,tranche_effectif_salarie
LA POSTE,356000000,13095,9065,9,DU COLONEL PIERRE AVIA,DIRECTION GENERALE DE LA POSTE,75015,PARIS,53.10Z,O,200054781,A,2003-01-01,51
CROIX ROUGE FRANCAISE (CRF),775672272,3582,2030,98,DIDOT,SITE CROIX ROUGE,75014,PARIS,88.99B,O,200054781,A,2006-01-25,01
ORANGE,380129866,4451,1867,111,DU PRESIDENT ROOSEVELT,,92130,ISSY-LES-MOULINEAUX,61.10Z,O,200054781,A,2020-06-01,51
COMPASS GROUP FRANCE,632041042,7197,1770,117,DE LA REPUBLIQUE,117-133,92320,CHATILLON,56.29A,O,200054781,A,2017-01-13,32
OGF,542076799,3072,1639,6,DU GENERAL AUDRAN,IMMEUBLE CANOPY,92400,COURBEVOIE,96.03Z,O,200054781,A,2024-07-01,NN
CREDIT LYONNAIS (LCL),954509741,3436,1441,18,DE LA REPUBLIQUE,,69002,LYON,64.19Z,O,200046977,A,2001-08-31,41
LE SOUVENIR FRANCAIS,775676182,1484,1408,20,EUGENE FLACHAT,,75017,PARIS,94.99Z,O,200054781,A,2008-06-27,11
MCDONALD'S FRANCE,722003936,1430,1343,1,GUSTAVE EIFFEL,Z I,78280,GUYANCOURT,68.20B,N,200058782,A,1993-09-01,NN
DISTRIBUTION CASINO FRANCE (DCF),428268023,4452,832,1,ANTOINE GUICHARD,,42000,SAINT-ETIENNE,47.11F,O,244200770,A,2007-11-01,42
CSF,440283752,907,660,,DE PARIS,ZI,14120,MONDEVILLE,70.10Z,O,200065597,A,2001-12-19,11
LA POSTE,356000000,13095,9065,9,DU COLONEL PIERRE AVIA,DIRECTION GENERALE DE LA POSTE,75015,PARIS,53.10Z,O,200054781,A,2003-01-01,51
DISTRIBUTION CASINO FRANCE (DCF),428268023,4452,832,1,ANTOINE GUICHARD,,42000,SAINT-ETIENNE,47.11F,O,244200770,A,2007-11-01,42
NWJ MET,843082389,405,397,31,BOSQUET,,75007,PARIS,35.11Z,N,200054781,A,2023-09-01,NN
NWIE MET,898270251,470,379,31,BOSQUET,,75007,PARIS,52.21Z,N,200054781,A,2023-09-01,NN
LYONNAISE DE BANQUE (CIC LYONNAISE DE ...),954507976,714,374,8,DE LA REPUBLIQUE,,69001,LYON,64.19Z,O,200046977,A,1900-01-01,32
GROUPAMA RHONE ALPES AUVERGNE,779838366,473,344,50,DE SAINT-CYR,,69009,LYON,65.12Z,O,200046977,A,1900-01-01,41
CAISSE REG CREDIT AGRICOLE MUT CTRE-EST (CRCAMCE),399973825,654,274,1,PIERRE DE TRUCHIS DE LAYS,,69410,CHAMPAGNE-AU-MONT-D OR,64.19Z,O,200046977,A,1995-01-01,42
SUD EST RESTAURATION S E R,390703890,270,245,170,DE LAVY,ZA LAVY,01570,MANZIAT,56.29B,O,200071371,A,2022-01-01,03
IRISOLAR 20,883285512,365,193,1200,OLIVIER PERROY,BATIMENT F,13790,ROUSSET,35.11Z,N,200054807,A,2020-05-04,NN
ALFA 3A,775544026,255,163,14,AGUETANT,,01500,AMBERIEU-EN-BUGEY,70.10Z,O,240100883,A,2009-01-01,21
LA POSTE,356000000,13095,9065,9,DU COLONEL PIERRE AVIA,DIRECTION GENERALE DE LA POSTE,75015,PARIS,53.10Z,O,200054781,A,2003-01-01,51
ELECTRICITE DE FRANCE (EDF),552081317,9135,3613,22,DE WAGRAM,22-30,75008,PARIS,35.11Z,O,200054781,A,2006-08-01,NN
ELIOR RESTAURATION FRANCE (ELIOR RESTAURATION ENSEIGNEMENT - ELIOR RESTAURATION SANTE),662025196,7074,2979,51,DES MECHES,,94000,CRETEIL,56.29B,N,200054781,A,2025-04-01,NN
SOCIETE GENERALE (SG),552120222,4245,2655,29,HAUSSMANN,,75009,PARIS,64.19Z,O,200054781,A,1900-01-01,41
SNCF RESEAU,412280737,2235,2071,15,JEAN-PHILIPPE RAMEAU,15 AU 17,93200,SAINT-DENIS,52.21Z,O,200054781,A,2015-10-01,41
BNP PARIBAS (HELLO BANK!),662042449,3762,2016,16,DES ITALIENS,,75009,PARIS,64.19Z,O,200054781,A,1966-07-01,42
ORANGE,380129866,4451,1867,111,DU PRESIDENT ROOSEVELT,,92130,ISSY-LES-MOULINEAUX,61.10Z,O,200054781,A,2020-06-01,51
COMPASS GROUP FRANCE,632041042,7197,1770,117,DE LA REPUBLIQUE,117-133,92320,CHATILLON,56.29A,O,200054781,A,2017-01-13,32
LIDL (LIDL),343262622,2720,1691,1,DE HANOVRE,,92290,CHATENAY-MALABRY,70.10Z,O,200054781,A,2024-06-17,NN
OGF,542076799,3072,1639,6,DU GENERAL AUDRAN,IMMEUBLE CANOPY,92400,COURBEVOIE,96.03Z,O,200054781,A,2024-07-01,NN
LA POSTE,356000000,13095,9065,9,DU COLONEL PIERRE AVIA,DIRECTION GENERALE DE LA POSTE,75015,PARIS,53.10Z,O,200054781,A,2003-01-01,51
CROIX ROUGE FRANCAISE (CRF),775672272,3582,2030,98,DIDOT,SITE CROIX ROUGE,75014,PARIS,88.99B,O,200054781,A,2006-01-25,01
LE SOUVENIR FRANCAIS,775676182,1484,1408,20,EUGENE FLACHAT,,75017,PARIS,94.99Z,O,200054781,A,2008-06-27,11
