code_postal,nom_commune
39140.0,FONTAINE
59390.0,L
38670.0,CHASSE-SUR-RHONE
38070.0,SAINT-QUENTIN-FALLAVIER
38200.0,VIENNE
38130.0,ECHIROLLES
38000.0,GRENOBLE
38190.0,FROGES
38090.0,VILLEFONTAINE
38240.0,MEYLAN
38140.0,LA MURE
73300.0,JARRIE
38110.0,LA TOUR-DU-PIN
38080.0,SAINT-ALBAN-DE-ROCHE
38870.0,SAINT-SIMEON-DE-BRESSIEUX
38320.0,EYBENS
38120.0,FONTANIL-CORNILLON
38160.0,SAINT-MARCELLIN
38530.0,PONTCHARRA
38490.0,AOSTE
38340.0,VOREPPE
38230.0,TIGNIEU-JAMEYZIEU
38760.0,VARCES-ALLIERES-ET-RISSET
38280.0,VILLETTE D'ANTHON
38121.0,REVENTIN-VAUGRIS
38380.0,SAINT-LAURENT-DU-PONT
38180.0,SEYSSINS
38510.0,VEZERONCE-CURTIN
38550.0,SAINT-MAURICE-L'EXIL
38150.0,AGNIN
38620.0,VELANNE
38200.0,VILLETTE-DE-VIENNE
38300.0,RUY-MONTCEAU
38230.0,CHARVIEU-CHAVAGNEUX
38540.0,SAINT-JUST-CHALEYSSIN
38550.0,SAINT MAURICE L'EXIL
38610.0,GIERES
38330.0,SAINT-ISMIER
38350.0,SOUSVILLE
38430.0,MOIRANS
38500.0,VOIRON
38570.0,GONCELIN
38250.0,VILLARD-DE-LANS
38390.0,MONTALIEU-VERCIEU
33910.0,SABLONS
38400.0,SAINT-MARTIN-D'HERES
38440.0,CHATONNAY
38590.0,BREZINS
38110.0,DOLOMIEU
38700.0,LA TRONCHE
38570.0,CRETS EN BELLEDONNE
38490.0,SAINT-ANDRE-LE-GAZ
38460.0,TREPT
38780.0,PONT-EVEQUE
38300.0,BOURGOIN-JALLIEU
38780.0,SEPTEME
38170.0,SEYSSINET-PARISET
38660.0,LE TOUVET
38370.0,SAINT-CLAIR-DU-RHONE
38420.0,DOMENE
38440.0,SAINT-JEAN-DE-BOURNAY
38113.0,VEUREY-VOROIZE
38850.0,CHARAVINES
38260.0,LA COTE-SAINT-ANDRE
38950.0,SAINT-MARTIN-LE-VINOUX
38700.0,CORENC
38460.0,SAINT-ROMAIN-DE-JALIONAS
38390.0,PORCIEU-AMBLAGNIEU
38690.0,LE GRAND-LEMPS
38580.0,ALLEVARD
38290.0,LA VERPILLIERE
38520.0,LE BOURG-D'OISANS
38680.0,PONT-EN-ROYANS
38110.0,CESSIEU
38470.0,VINAY
38270.0,BELLEGARDE-POUSSIEU
38260.0,POMMIER-DE-BEAUREPAIRE
38220.0,SECHILIENNE
38260.0,MOTTIER
38590.0,SILLANS
38550.0,LE PEAGE-DE-ROUSSILLON
,VENOSC
38520.0,LE BOURG D'OISANS
38230.0,PONT-DE-CHERUY
38520.0,LES DEUX ALPES
38220.0,VIZILLE
38270.0,BEAUREPAIRE
38500.0,COUBLEVIE
38150.0,CHANAS
38140.0,BEAUCROISSANT
38590.0,SAINT-ETIENNE-DE-SAINT-GEOIRS
38400.0,SAINT MARTIN D'HERES
38190.0,VILLARD-BONNOT
17600.0,LE GUA
38150.0,SALAISE-SUR-SANNE
38750.0,HUEZ
38270.0,PACT
83600.0,LES ADRETS
36210.0,ANJOU
38090.0,VAULX-MILIEU
38140.0,CHARNECLES
38330.0,MONTBONNOT-SAINT-MARTIN
38410.0,VAULNAVEYS-LE-HAUT
38360.0,SASSENAGE
38460.0,VILLEMOIRIEU
38150.0,ROUSSILLON
38160.0,CHATTE
38570.0,TENCIN
38112.0,AUTRANS
38260.0,LA FRETTE
38480.0,LE PONT-DE-BEAUVOISIN
,FITILIEU
38530.0,BARRAUX
38210.0,TULLINS
38630.0,VEYRINS THUELLIN
38790.0,CHARANTONNAY
38440.0,MEYRIEU-LES-ETANGS
38320.0,POISAT
38800.0,LE PONT-DE-CLAIX
38460.0,CREMIEU
