siren,nom_entreprise,adresse,ville,code_postal,code_epci
356000000,LA POSTE,DU COLONEL PIERRE AVIA,PARIS,75015,200054781
775672272,CROIX ROUGE FRANCAISE (CRF),DIDOT,PARIS,75014,200054781
380129866,ORANGE,DU PRESIDENT ROOSEVELT,ISSY-LES-MOULINEAUX,92130,200054781
632041042,COMPASS GROUP FRANCE,DE LA REPUBLIQUE,CHATILLON,92320,200054781
542076799,OGF,DU GENERAL AUDRAN,COURBEVOIE,92400,200054781
954509741,CREDIT LYONNAIS (LCL),DE LA REPUBLIQUE,LYON,69002,200046977
775676182,LE SOUVENIR FRANCAIS,EUGENE FLACHAT,PARIS,75017,200054781
722003936,MCDONALD'S FRANCE,GUSTAVE EIFFEL,GUYANCOURT,78280,200058782
428268023,DISTRIBUTION CASINO FRANCE (DCF),ANTOINE GUICHARD,SAINT-ETIENNE,42000,244200770
440283752,CSF,DE PARIS,MONDEVILLE,14120,200065597
843082389,NWJ MET,BOSQUET,PARIS,75007,200054781
898270251,NWIE MET,BOSQUET,PARIS,75007,200054781
954507976,LYONNAISE DE BANQUE (CIC LYONNAISE DE ...),DE LA REPUBLIQUE,LYON,69001,200046977
779838366,GROUPAMA RHONE ALPES AUVERGNE,DE SAINT-CYR,LYON,69009,200046977
399973825,CAISSE REG CREDIT AGRICOLE MUT CTRE-EST (CRCAMCE),PIERRE DE TRUCHIS DE LAYS,CHAMPAGNE-AU-MONT-D OR,69410,200046977
390703890,SUD EST RESTAURATION S E R,DE LAVY,MANZIAT,1570,200071371
883285512,IRISOLAR 20,OLIVIER PERROY,ROUSSET,13790,200054807
775544026,ALFA 3A,AGUETANT,AMBERIEU-EN-BUGEY,1500,240100883
552081317,ELECTRICITE DE FRANCE (EDF),DE WAGRAM,PARIS,75008,200054781
662025196,ELIOR RESTAURATION FRANCE (ELIOR RESTAURATION ENSEIGNEMENT - ELIOR RESTAURATION SANTE),DES MECHES,CRETEIL,94000,200054781
552120222,SOCIETE GENERALE (SG),HAUSSMANN,PARIS,75009,200054781
412280737,SNCF RESEAU,JEAN-PHILIPPE RAMEAU,SAINT-DENIS,93200,200054781
662042449,BNP PARIBAS (HELLO BANK!),DES ITALIENS,PARIS,75009,200054781
343262622,LIDL (LIDL),DE HANOVRE,CHATENAY-MALABRY,92290,200054781
514801414,GAVRIANE (CAP SUD),CONDORCET,VAULX-MILIEU,38090,243800604
901859645,IRISOLAR 25 (IRISOLAR 25),OLIVIER PERROY,ROUSSET,13790,200054807
979253044,IRISOLAR 32,OLIVIER PERROY,ROUSSET,13790,200054807
901859553,IRISOLAR 24,OLIVIER PERROY,ROUSSET,13790,200054807
844149781,IRISOLAR 18,OLIVIER PERROY,ROUSSET,13790,200054807
220100010,DEPARTEMENT DE L AIN,D'ALSACE LORRAINE,BOURG-EN-BRESSE,1000,200071751
987770815,PHEBUS INVEST 06 (PHEBUS INVEST 06) (SASU),DE LACOURTENSOURT,FENOUILLET,31150,243100518
878459890,SATURNE,DE VERDUN RAMBAUD,LYON,69002,200046977
341091643,SOCIETE TELLIF,AMPERE,ENNERY,95300,249500430
890326945,OXYANE SOLAIRE I,DE VERDUN RAMBAUD,LYON,69002,200046977
791931264,INATA,DU SABLON,MAGNIEU,1300,200040350
200060143,COMMUNE DE GROSLEE-SAINT-BENOIT,DES VIEILLES MAISONS,GROSLEE-SAINT-BENOIT,1300,200040350
200053668,COMMUNE DE ARBOYS EN BUGEY,DE LA MAIRIE,ARBOYS EN BUGEY,1300,200040350
345130488,CARREFOUR PROXIMITE FRANCE,DE PARIS,MONDEVILLE,14120,200065597
828160069,OBOL FRANCE 3,DU GENERAL AUDRAN,COURBEVOIE,92400,200054781
784939688,PICARD SURGELES,MILITAIRE,FONTAINEBLEAU,77300,200072346
425050556,CARGLASS S.A.S. (CARGLASS PARE-BRISE COURBEVOIE),DE LA MISSION MARCHAND,COURBEVOIE,92400,200054781
552049447,SOCIETE NATIONALE SNCF (SNCF),AUX ETOILES,SAINT-DENIS,93210,200054781
